earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment
40628,6124,0.5795,938,27153,0.6298,0.2403,16600,1,5,10.612212763059391,8.720134035412928
54501,11635,0.8818,1258,28145,0.3402,0.6423,15832,1,5,10.905974329106854,9.361859019615093
37621,241,NA,NA,NA,0.7655,1,13385,2,5,10.535317684107266,5.488937726156687
61767,6591,0.6857,1319,27392,0.2464,0.6429,13905,1,5,11.031124520244854,8.793612071589308
34502,3477,0.9755,976,23586,0.7134,0.3034,17500,1,5,10.44877257235369,8.154212694914229
59221,33227,0.7665,1285,33382,0.184,0.7337,17986,1,5,10.98903148770011,10.411148172958962
33506,1203,NA,NA,21413,0.3183,NA,5500,1,5,10.419479806253477,7.093404625868766
50273,2446,NA,NA,NA,0.4251,NA,14861,1,5,10.825223432646178,7.802618063442671
44391,2542,0.9157,1093,21353,0.4235,0.326,13119,1,5,10.700792025170644,7.841099765422119
65337,26816,0.4592,1345,34919,0.1253,0.8195,17750,1,5,11.087313770418719,10.196791293755963
36438,1110,NA,NA,12600,0.4025,NA,5900,1,5,10.50336746512563,7.01301578963963
34421,299,NA,NA,34793,0.6556,0.0909,13000,3,5,10.446422122219738,5.703782474656201
42572,1585,NA,NA,19956,0.3496,NA,5500,1,5,10.658952039160935,7.368970402194793
34894,4798,NA,NA,20605,0.3567,NA,5500,1,5,10.460070173639847,8.476162841858246
43457,1549,0.7307,1020,37626,0.4562,0.374,15000,2,5,10.679527222435633,7.346010209913293
32937,3548,NA,NA,10189,0.4634,NA,NA,1,5,10.402351924902842,8.174421152646497
31399,3017,NA,NA,9308,0.4706,NA,NA,1,5,10.354531324255456,8.012349639327795
39842,4423,NA,NA,19008,0.346,NA,8200,1,5,10.59267691124173,8.39479954320217
31598,855,NA,NA,19175,0.3773,NA,NA,1,5,10.360849106432795,6.752270376141742
36909,442,0.9326,NA,27750,0.6771,0.125,11756,2,5,10.516210702728278,6.093569770045136
49601,879,0.6949,1142,40908,0.4007,0.4798,20000,2,5,10.811766273800105,6.779921907472252
42597,75,0.9,1020,20909,0.3571,0.6667,NA,2,5,10.659539107242468,4.330733340286331
28281,755,NA,NA,14456,0.4431,NA,NA,1,5,10.24994548006426,6.628041376179533
45235,7036,0.7769,1059,24257,0.426,0.5472,14000,1,5,10.719626402459841,8.85893722196655
40719,5470,NA,NA,14814,0.3483,NA,4500,1,5,10.614450092966075,8.607216694063826
38192,7070,NA,NA,13073,0.3041,NA,6010,1,5,10.550381348578611,8.863757191604241
31701,2900,NA,NA,14895,0.5991,NA,NA,1,5,10.36410350510914,7.972810784121404
44232,2974,0.4265,1015,22758,0.5817,0.347,13000,1,5,10.697203788017768,7.99799931797973
32307,1097,NA,NA,12392,0.3183,NA,NA,1,5,10.38303920399699,7.001245622069476
59644,329,0.9703,1068,18743,0.5357,NA,5500,1,5,10.996148835710798,5.799092654460526
32627,1155,NA,NA,21154,0.7194,0.158,15691,2,5,10.392895445428055,7.052721049232323
43611,1307,0.7789,1220,41115,0.2565,0.5685,19000,2,5,10.683064691094435,7.176254532017144
42957,2151,0.5385,NA,27398,0.3238,0.541,16000,1,5,10.667954894342117,7.674152921281675
33828,1969,NA,NA,11340,0.2669,NA,5500,1,5,10.429044140902112,7.585788821732034
45415,5811,0.8731,NA,23786,0.2435,0.5491,15781,1,5,10.723597725936314,8.667680024690174
34913,1629,NA,NA,11620,0.3418,NA,4400,1,5,10.460614531668961,7.396335293800808
42488,1153,0.4522,NA,40176,0.4437,0.4462,21500,2,5,10.656976962102235,7.050989447068045
28982,416,NA,NA,10739,0.5,NA,NA,1,5,10.274430226605869,6.0330862217988015
29916,2437,NA,NA,13085,0.3941,NA,NA,1,5,10.306148733311558,7.798933310041217
58469,4206,0.8236,1201,57456,0.1109,0.7704,15750,2,5,10.976251978235707,8.344505083590521
35014,3148,NA,NA,20350,0.4305,NA,NA,1,5,10.463503260492878,8.054840221101024
35735,1427,NA,NA,11220,0.3094,NA,6450,1,5,10.483885879654078,7.2640301428995295
49379,8879,0.7096,1147,25476,0.3796,0.5267,17750,1,5,10.807280511580302,9.091556835986216
51500,782,0.7657,1120,39936,0.3161,0.521,21500,2,5,10.849337086651827,6.663132695990803
35421,706,0.6225,NA,26107,0.763,0.25,16000,2,5,10.47506014357522,6.561030665896573
32229,701,0.8542,NA,25185,0.6662,0.3091,15000,2,5,10.380621947334651,6.553933404025811
32183,1674,NA,NA,16971,0.6371,NA,NA,1,5,10.379193641807104,7.423568444259167
42062,9805,0.9604,1088,23165,0.4282,0.503,15985,1,5,10.646899999243624,9.190749722211178
49641,2630,0.4868,1120,43454,0.5767,0.5498,21250,2,5,10.812572384159955,7.875119281040293
55257,228,0.6137,NA,32606,0.4462,NA,10976,2,5,10.919750308187213,5.43372200355424
34107,2177,NA,NA,13827,0.2983,NA,NA,1,5,10.437257920797217,7.686162303492906
51871,7212,NA,NA,24096,0.1846,0.2971,11231,1,8,10.856515146126256,8.883640232503673
48866,4207,NA,NA,22407,0.2243,0.3801,11283,1,8,10.796837137108716,8.344742754417545
48475,907,0.6329,NA,21043,0.143,0.2805,10500,1,8,10.788803480110852,6.811244378601294
54271,457,0.9645,NA,34026,0.3204,0.4722,12696,2,8,10.901745293274272,6.126869184114185
51083,107,NA,NA,NA,0.0327,NA,5500,1,8,10.841207039823576,4.68213122712422
35504,2157,NA,NA,41344,0.574,0.5606,11884,3,8,10.477400645172375,7.67693714581808
34468,250,NA,NA,NA,0.4044,NA,7199,3,8,10.447786636359657,5.5254529391317835
25073,203,NA,NA,NA,0.5043,NA,8028,3,6,10.129546848931234,5.318119993844216
36718,1080,NA,NA,NA,0.5616,NA,9298,3,6,10.51102237702015,6.985641817639208
36718,528,NA,NA,NA,0.5166,NA,9298,3,6,10.51102237702015,6.270988431858299
36718,517,NA,NA,NA,0.6547,NA,9298,3,6,10.51102237702015,6.249975242259483
21201,47,NA,NA,NA,0.7317,NA,4750,3,6,9.961803629358965,3.871201010907891
31102,689,NA,NA,NA,0.7333,NA,10661,3,6,10.345027404781282,6.536691597591305
29576,712,NA,NA,NA,0.3587,0.5288,9500,3,6,10.294718500616467,6.569481420414296
62668,64674,0.8989,NA,30111,0.2899,0.6804,13610,1,6,11.045606229513378,11.07713000705423
36857,6374,NA,NA,15868,0.4072,NA,4500,1,6,10.514800838871937,8.760139370026627
59979,42537,0.8614,1246,29423,0.257,0.6752,13750,1,6,11.001749779939942,10.658153073074491
40513,4912,NA,NA,10720,0.2957,NA,6157,1,6,10.609378189243436,8.499640032168648
26269,76,NA,NA,NA,0.6207,NA,7000,3,6,10.176144815719798,4.343805421853684
38033,3096,NA,NA,14342,0.3815,0.3044,5500,1,6,10.546209482901759,8.038189179973203
23921,104,NA,NA,NA,0.619,NA,7851,3,6,10.082512013210788,4.653960350157523
30803,298,NA,NA,NA,0.4504,NA,6312,3,6,10.335367366815744,5.700443573390687
38018,2643,NA,NA,16696,0.1594,0.4194,NA,1,6,10.545815010766098,7.880048200971577
84131,3218,0.7658,1250,62798,0.1825,0.6776,14250,2,6,11.340130386840555,8.076826031298808
43108,11975,NA,NA,18037,0.2694,0.1598,4500,1,6,10.671463873716723,9.390659926099465
42186,73371,0.7891,1077,32702,0.4594,0.4346,12500,3,6,10.649843691427217,11.20329767043424
46147,4538,NA,NA,19314,0.2754,0.2881,4500,1,6,10.739587232400936,8.420462002456466
44034,14460,NA,NA,18194,0.2097,0.1564,4500,1,6,10.692717341773118,9.579210649614792
35522,3216,NA,NA,11837,0.3607,NA,8000,1,6,10.477907501827271,8.076204527239026
48341,527,NA,NA,NA,0.4732,NA,10247,3,6,10.786035340845325,6.269096283706261
