earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment,sat_scaled
40628,6124,0.5795,938,27153,0.6298,0.2403,16600,Public,5,10.612212763059391,8.720134035412928,-1.6545279224251181
54501,11635,0.8818,1258,28145,0.3402,0.6423,15832,Public,5,10.905974329106854,9.361859019615093,0.5030672150816529
61767,6591,0.6857,1319,27392,0.2464,0.6429,13905,Public,5,11.031124520244854,8.793612071589308,0.914358788168881
34502,3477,0.9755,976,23586,0.7134,0.3034,17500,Public,5,10.44877257235369,8.154212694914229,-1.398313499846189
59221,33227,0.7665,1285,33382,0.184,0.7337,17986,Public,5,10.98903148770011,10.411148172958962,0.6851143048087867
44391,2542,0.9157,1093,21353,0.4235,0.326,13119,Public,5,10.700792025170644,7.841099765422119,-0.609442777695276
65337,26816,0.4592,1345,34919,0.1253,0.8195,17750,Public,5,11.08731377041872,10.196791293755965,1.0896633930913062
43457,1549,0.7307,1020,37626,0.4562,0.374,15000,Private Nonprofit,5,10.679527222435633,7.346010209913293,-1.1016441684390081
49601,879,0.6949,1142,40908,0.4007,0.4798,20000,Private Nonprofit,5,10.811766273800105,6.779921907472252,-0.27906102226455165
45235,7036,0.7769,1059,24257,0.426,0.5472,14000,Public,5,10.71962640245984,8.85893722196655,-0.8386872610553704
44232,2974,0.4265,1015,22758,0.5817,0.347,13000,Public,5,10.697203788017768,7.99799931797973,-1.1353565924625513
43611,1307,0.7789,1220,41115,0.2565,0.5685,19000,Private Nonprofit,5,10.683064691094437,7.176254532017144,0.24685279250272377
58469,4206,0.8236,1201,57456,0.1109,0.7704,15750,Private Nonprofit,5,10.976251978235709,8.344505083590521,0.11874558121325923
49379,8879,0.7096,1147,25476,0.3796,0.5267,17750,Public,5,10.807280511580302,9.091556835986216,-0.24534859824100835
51500,782,0.7657,1120,39936,0.3161,0.521,21500,Private Nonprofit,5,10.849337086651827,6.663132695990803,-0.42739568796814215
42062,9805,0.9604,1088,23165,0.4282,0.503,15985,Public,5,10.646899999243624,9.190749722211178,-0.6431552017188192
49641,2630,0.4868,1120,43454,0.5767,0.5498,21250,Private Nonprofit,5,10.812572384159957,7.875119281040293,-0.42739568796814215
59979,42537,0.8614,1246,29423,0.257,0.6752,13750,Public,6,11.001749779939942,10.658153073074493,0.4221573974251489
84131,3218,0.7658,1250,62798,0.1825,0.6776,14250,Private Nonprofit,6,11.340130386840556,8.076826031298808,0.4491273366439835
42186,73371,0.7891,1077,32702,0.4594,0.4346,12500,Private For-Profit,6,10.649843691427217,11.20329767043424,-0.7173225345706145
45265,4949,0.5878,1049,22519,0.4118,0.4165,14500,Public,5,10.72028938590954,8.507142855562735,-0.906112109102457
58191,28677,0.743,1169,27767,0.1779,0.7052,15749,Public,5,10.9714859825864,10.263885557274984,-0.09701393253741786
35550,1807,0.4118,922,21129,0.695,0.4043,14328,Public,5,10.478695435231389,7.4999765409521215,-1.7624076793004566
42617,9110,0.8226,1090,25082,0.3838,0.554,15000,Public,5,10.660008513686648,9.11723775371386,-0.629670232109402
41766,5388,0.9589,1049,22808,0.3389,0.4856,11350,Public,5,10.639837890396722,8.592115117933497,-0.906112109102457
45938,7762,0.8949,1118,25029,0.3798,0.5353,13000,Public,5,10.7350479402497,8.95712413640568,-0.44088065757755945
46789,484,0.6346,1046,30605,0.3982,0.3411,12876,Private Nonprofit,5,10.753403411543824,6.184148890937483,-0.926339563516583
52876,3382,0.7052,1182,39534,0.2381,0.6879,21601,Private Nonprofit,5,10.87570482869929,8.12651816878071,-0.00936163007620529
60376,1100,0.5565,1282,55013,0.2319,0.7235,19500,Private Nonprofit,5,11.008346953964704,7.00397413672268,0.6648868503946607
53907,1471,0.7614,1195,44710,0.237,0.7179,17000,Private Nonprofit,5,10.895015618594565,7.294377299288821,0.07829067238500728
51673,1602,0.6752,1211,47321,0.2341,0.614,15000,Private Nonprofit,5,10.852690680366042,7.379632152609552,0.18617042926034583
44384,767,0.5951,1105,38666,0.3984,0.5148,11000,Private Nonprofit,5,10.700634323114558,6.643789733147672,-0.528532960038772
38484,478,0.8342,980,33597,0.5438,0.2564,9500,Private Nonprofit,5,10.557997849481156,6.171700597410915,-1.3713435606273545
42386,2708,0.7533,1047,24951,0.482,0.4882,12500,Public,5,10.654573398016518,7.904334842085095,-0.9195970787118742
41102,4091,0.8046,1050,19048,0.391,0.3788,10750,Public,5,10.623812061100866,8.316789127071518,-0.8993696242977484
66677,2759,0.8843,1195,56313,0.3515,0.6179,19710,Private Nonprofit,8,11.107615344850805,7.9229859587111955,0.07829067238500728
56778,3474,0.7435,1261,62757,0.2604,0.676,19000,Private Nonprofit,8,10.946904205736288,8.1533497579988925,0.5232946694957787
68712,2296,0.7567,1266,68426,0.3109,0.696,18970,Private Nonprofit,8,11.13767913544606,7.739359202689098,0.5570070935193221
70070,7478,0.6543,1357,83146,0.1939,0.8188,17750,Private Nonprofit,8,11.15725002136458,8.919854372191667,1.1705732107478102
104736,1388,0.0959,1527,86500,0.181,0.9136,11948,Private Nonprofit,8,11.559198177300908,7.236339342754344,2.316795627548282
84713,1114,0.835,1290,71751,0.319,0.7805,24250,Private Nonprofit,8,11.34702435174361,7.016609683894219,0.7188267288323299
138687,921,0.1266,1545,90165,0.1517,0.9188,19500,Private Nonprofit,8,11.839974874440871,6.826545223556594,2.438160354033038
65464,3050,0.7117,1083,62278,0.514,0.6312,21000,Private Nonprofit,8,11.089255652207218,8.02322468471667,-0.6768676257423626
78349,7094,0.4508,1359,83943,0.1322,0.7887,15000,Private Nonprofit,8,11.268928484460853,8.867145589594143,1.1840581803572274
75951,1877,0.4417,1452,84800,0.1656,0.8088,19000,Private Nonprofit,8,11.237843674494188,7.537962659768208,1.8111092671951328
58152,1223,0.8176,1310,75861,0.3363,0.663,20000,Private Nonprofit,8,10.97081555116447,7.1098794630722715,0.8536764249265031
49697,564,0.3298,1020,51784,0.4426,0.4944,15738,Private Nonprofit,8,10.813699848089811,6.336825731146441,-1.1016441684390081
78445,3204,0.7132,1346,71515,0.3612,0.6905,17653,Private Nonprofit,8,11.270153021267056,8.07246736935477,1.0964058778960148
82939,3553,0.6286,1384,93512,0.2025,0.8335,19500,Private Nonprofit,8,11.325860676819078,8.175829008714597,1.352620300474944
63998,3188,0.8368,1287,60488,0.2144,0.7717,19500,Private Nonprofit,8,11.066607111853518,8.067462667010057,0.6985992744182039
77779,1666,0.0709,1534,85300,0.1953,0.932,10000,Private Nonprofit,8,11.261626750851567,7.418780882750794,2.3639930211812428
