term,estimate,std.error,statistic,p.value
(Intercept),9.927725478126392,0.11958261531009942,83.01980561624279,0
log_enrollment,0.018856305183476443,0.005914091097779473,3.1883690784804286,0.0014753016358842754
sat_avg,4.688897491244626e-4,7.193877155863629e-5,6.5179004167770245,1.1297621975473223e-10
completion_rate,0.20539044199179526,0.054721374096692976,3.7533860467185858,1.8452985678837853e-4
pell_pct,-0.23024462071654656,0.05412056192090376,-4.254291022570035,2.2943733520577063e-5
admission_rate,-0.05348695152297511,0.029417821526863137,-1.8181819300974766,0.06933600462573251
avg_cost,3.2809848744377966e-6,5.703707994260635e-7,5.752371751392765,1.1695753265782013e-8
median_debt,6.902375367981826e-6,1.4685320884597654e-6,4.700186956909615,2.963770805286338e-6
CONTROLPrivate Nonprofit,0.014791615486117732,0.07118425583555163,0.20779335700704676,0.835432714047095
CONTROLPublic,0.09803863119431681,0.0722061018296482,1.3577610300250502,0.1748464295387239
